id ,name,start_location,end_location,distance_mt,date,public_transport_fare,ride_duration,ride_duration_minutes
15066224146,Commute 1 - House/Fiz,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Fizeaustraat 2, 1097 SC Amsterdam, Netherlands",5566,2025-07-10T09:01:15Z,€2.34,1959,32.65
15075885685,Commute 2 - To Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 41, 1012 KC Amsterdam, Netherlands",10421.9,2025-07-11T05:52:12Z,€2.98,2771,46.18
15078454033,Commute 2.1 - from Nes,"Rokin 55, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8940.7,2025-07-11T11:46:07Z,€2.98,2329,38.82
15088087332,Commute 3 - To Nes,"Sarphatistraat 111, 1018 GB Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",6862.8,2025-07-12T10:44:58Z,€2.98,1666,27.77
15107304900,Commute 4 - to Nes,"Emmeline Pankhurststraat 13, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",8572.8,2025-07-14T05:42:37Z,€2.98,2003,33.38
15111805247,Commute 4.1 - from Nes,"Rokin 19, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",9002.4,2025-07-14T14:45:59Z,€2.98,2173,36.22
15118211436,Commute 5 - to Nes x2,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",8842.9,2025-07-15T05:45:08Z,€2.98,2083,34.72
15123150482,Commute 5.1 - from Nes,"Rokin 19, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 17, 1103 MN Amsterdam, Netherlands",8793.2,2025-07-15T15:08:42Z,€2.98,2217,36.95
15130061164,Commute 6 - to Nes,"Emmeline Pankhurststraat 9, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",9202.3,2025-07-16T05:53:58Z,€2.98,2477,41.28
15135151091,Commute 6.1 - from Nes,"Rokin 124, 1012 LC Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",8584.8,2025-07-16T16:00:35Z,€2.98,1969,32.82
15151641700,Commute 7 - to Nes x2,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8744,2025-07-18T05:47:13Z,€2.98,2456,40.93
15157094473,Commute 7.1 - from Nes,"Rokin, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",10173.8,2025-07-18T16:26:38Z,€2.98,2697,44.95
15249224256,Commute 8 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8490.8,2025-07-27T06:46:30Z,€2.98,2330,38.83
15255497624,Commute 8.1 - from Nes,"Nes 57, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8722.9,2025-07-27T16:03:55Z,€2.98,2018,33.63
15270338555,Commute 9 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8333.6,2025-07-29T03:55:09Z,€2.98,2072,34.53
15275398296,Commute 9.1 - from Nes,"Nes 59HS, 1012 KD Amsterdam, Netherlands","Emmeline Pankhurststraat 13, 1103 MN Amsterdam, Netherlands",8761.6,2025-07-29T13:49:02Z,€2.98,3240,54.00
15293689949,Commute 10 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 57, 1012 GL Amsterdam, Netherlands",8351.4,2025-07-31T04:04:25Z,€2.98,1831,30.52
15297876386,Commute 10.1 - from Nes,"Nes 49, 1012 KD Amsterdam, Netherlands","Emmeline Pankhurststraat 19, 1103 MN Amsterdam, Netherlands",8612.9,2025-07-31T13:11:23Z,€2.98,1983,33.05
15304543241,Commute 11 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 60, 1012 KE Amsterdam, Netherlands",8626.2,2025-08-01T03:47:26Z,€2.98,3036,50.60
15308676811,Commute 11.1 -  from Nes,"Nes 57, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 21, 1103 MN Amsterdam, Netherlands",8613.4,2025-08-01T13:19:08Z,€2.98,2470,41.17
15314777741,Commute 12 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8362.3,2025-08-02T03:52:19Z,€2.98,2010,33.50
15319339033,Commute 12.1 - from Nes,"Nes 49, 1012 KD Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8674,2025-08-02T13:16:40Z,€2.98,1990,33.17
15326527883,Commute 13 - to Nes,"Emmeline Pankhurststraat 13, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8394.5,2025-08-03T06:46:08Z,€2.98,2188,36.47
15333025853,Commute 13.1 - from Nes,"Nes 57, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8565.9,2025-08-03T16:14:36Z,€2.98,1946,32.43
15352978878,Commute 14 - to Nes x2,"Nes 57, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",8636.6,2025-08-05T13:19:25Z,€2.98,2156,35.93
15376057143,Commute 15 - to Nes,"Isabella Richaardsstraat 122, 1103 MH Amsterdam, Netherlands","Nes 57, 1012 GL Amsterdam, Netherlands",8358.3,2025-08-07T11:43:57Z,€2.98,1801,30.02
15381794913,Commute 15.1 - from Nes,"Rokin 19, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 9, 1103 MN Amsterdam, Netherlands",8321,2025-08-07T21:50:19Z,€2.98,1821,30.35
15385524428,Commute 16 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 57, 1012 GL Amsterdam, Netherlands",8367,2025-08-08T08:54:12Z,€2.98,2027,33.78
15391396524,Commute 16.1 - from Nes,"Nes 57, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",8575.8,2025-08-08T19:07:58Z,€2.98,1959,32.65
15429734370,Commute 17 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 57, 1012 GL Amsterdam, Netherlands",8351.7,2025-08-12T07:35:38Z,€2.98,1914,31.90
15435640435,Commute 17.1 - from Nes,"Rokin 19, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8363,2025-08-12T17:17:45Z,€2.98,1836,30.60
15441693653,Commute 18 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",8217.9,2025-08-13T07:16:33Z,€2.98,1924,32.07
15446888715,Commute 18.1 - from Nes,"Rokin 1020, 1012 GC Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8314.6,2025-08-13T16:17:12Z,€2.98,1744,29.07
15453183318,Commute 19 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",8184.9,2025-08-14T06:57:29Z,€2.98,1818,30.30
15458268555,Commute 19.1 - from Nes,"Rokin, 1012 KP Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",8328.6,2025-08-14T16:18:46Z,€2.98,1753,29.22
15465265505,Commute 20 - to Oosterpark,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","s113 2, 1092 CK Amsterdam, Netherlands",6510.7,2025-08-15T09:16:33Z,€2.75,1576,26.27
15466276851,Commute 20.1 - from Oosterpark,"1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 21, 1103 MN Amsterdam, Netherlands",6241.3,2025-08-15T10:53:37Z,€2.75,1430,23.83
15473742899,Commute 21 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 50, 1012 KD Amsterdam, Netherlands",8662.9,2025-08-16T03:36:16Z,€2.98,2929,48.82
